兇	凶
嫺	嫻
峯	峰
牀	床
癡	痴
糉	粽
羣	群
踊	踴
麪	麵
癒	愈
線	綫
雞	鷄
鑑	鑒
鍊	煉
崙	侖
繡	綉
鏽	銹
囪	囱
戶	户
挩	捝
兌	兑
悅	悦
慍	愠
搵	揾
敓	敚
敘	叙
漵	溆
柺	拐
梲	棁
榲	榅
氳	氲
涗	涚
溫	温
溼	濕
熅	煴
皁	皂
稅	税
縕	緼
脫	脱
膃	腽
臥	卧
菸	煙
蒕	蒀
蔥	葱
蘊	藴
蛻	蜕
說	説
覈	核
贗	贋
轀	輼
醞	醖
鉤	鈎
銳	鋭
閱	閲
鰮	鰛
慼	戚
鏚	戚
戩	戬
晉	晋
吳	吴
娛	娱
悞	悮
俁	俣
爭	争
猙	狰
箏	筝
凈	净
睜	睁
靜	静
崢	峥
掙	挣
淨	浄
拋	抛
搖	摇
瑤	瑶
謠	謡
遙	遥
綠	緑
祿	禄
淥	渌
錄	録
強	强
鱷	鰐
雋	隽
鐫	鎸
攜	携
麼	麽
嬤	嬷
黃	黄
橫	横
呂	吕
宮	宫
侶	侣
產	産
彥	彦
虛	虚
奧	奥
袞	衮
滾	滚
疊	叠
絕	絶
豎	竪
頹	頽
殼	殻
顏	顔
閒	閑
獎	奬
牆	墻
鳧	鳬
廁	厠
豔	艷
諡	謚
勳	勛
灩	灧
繃	綳
罵	駡
譾	謭
鷳	鷴
鶿	鷀
贓	贜
齎	賫
齧	嚙
鯗	鮝
愨	慤
並	并
併	并
羨	羡
幷	并
於	于
沒	没
蹟	迹
跡	迹
採	采
減	减
涼	凉
悽	凄
決	决
廝	厮
廂	厢
廈	厦
只	衹
甦	蘇
